OID_,INSPECTION,DEVELOPMEN,DEVELOPM_1,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAM,COUNTY_COD,STATE_NAME,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,LOCATION_Q,PHA_CODE,PHA_NAME,INSPECTI_1,INSPECTI_2,NEAR_FID,NEAR_DIST
0,672830,SC056000001,JOSEPH FLOYD MANOR,2106 Mount Pleasant St,Charleston,"Charleston-North Charleston, SC Metropolitan Statistical Area",16700,Charleston,19,SC,45,29403,32.812542000000001,-79.952295000000007,R,SC056,CHARLESTON CO HSG & REDEV AUTH,19,10/20/2020 0:00:00,439232,0.004148018843970
1,672229,TN040000001,WILLOW COURTS,102 Willow Cts,Lexington, ,99999,Henderson,77,TN,47,38351,35.655754000000002,-88.403673999999995,R,TN040,Lexington Housing Authority,87,2/27/2020 0:00:00,36123,0.002858844637160
2,671101,LA013000013,ACRE ROAD PROJECT,1601 Betty St,Marrero,"New Orleans-Metairie, LA Metropolitan Statistical Area",35380,Jefferson,51,LA,22,70072,29.886046000000000,-90.116896999999994,R,LA013,Housing Authority of Jefferson Parish,56,3/2/2020 0:00:00,426481,0.003583328216050
3,671067,PA001000044,FINELLO PAVILION,3206 Niagara St,Pittsburgh,"Pittsburgh, PA Metropolitan Statistical Area",38300,Allegheny,3,PA,42,15213,40.434161000000003,-79.960029000000006,R,PA001,Housing Authority of the City of Pittsburgh,57,2/18/2020 0:00:00,485140,0.003859527750660
4,667424,WV011000001,DORSEY ST/BURLEY/FRANCINE/KERMIT/GATTSCT,501 10th St,Moundsville,"Wheeling, WV-OH Metropolitan Statistical Area",48540,Marshall,51,WV,54,26041,39.916097999999998,-80.746791000000002,R,WV011,Housing Authority of the City of Moundsville,74,3/11/2020 0:00:00,45683,0.001558034375180
5,667423,WI214000001,STOUGHTON HSG/SCAT SITES,1650 Hanson Rd,Stoughton,"Madison, WI Metropolitan Statistical Area",31540,Dane,25,WI,55,53589,42.915666999999999,-89.200444000000005,R,WI214,Dane County Housing Authority,41,2/13/2020 0:00:00,467382,0.007510664744420
6,667422,VA011000259,HUNT MANOR,807 Hunt Ave NW,Roanoke,"Roanoke, VA Metropolitan Statistical Area",40220,Roanoke City,770,VA,51,24012,37.291266000000000,-79.945800000000006,R,VA011,Roanoke Redevelopment & Housing Authority,68,2/18/2020 0:00:00,407755,0.003427412390380
7,667420,MI028000001,CLEMENS TOWERS,50 Church St,Mount Clemens,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",19820,Macomb,99,MI,26,48043,42.594020999999998,-82.881175999999996,R,MI028,Mount Clemens Housing Commission,49,2/3/2020 0:00:00,431896,0.003509366483940
8,667418,VA011000210,INDIAN ROCK VILLAGE,2002 Wise Ave SE,Roanoke,"Roanoke, VA Metropolitan Statistical Area",40220,Roanoke City,770,VA,51,24013,37.277642000000000,-79.913345000000007,R,VA011,Roanoke Redevelopment & Housing Authority,90,2/3/2020 0:00:00,407716,0.000000000000000
9,667417,WI002000017,MITCHELL COURT,2600 W National Ave,Milwaukee,"Milwaukee-Waukesha, WI Metropolitan Statistical Area",33340,Milwaukee,79,WI,55,53204,43.022494999999999,-87.946437000000003,R,WI002,Housing Authority of the City of Milwaukee,84,2/27/2020 0:00:00,567519,0.005630279368350
