"","TRACTFIPS","RISK_RATNG","SOVI_RATNG","RESL_RATNG","CFLD_RISKR","HWAV_RISKR","HRCN_RISKR","RFLD_RISKR","WFIR_RISKR"
"1","15007040300","Very Low","Relatively Moderate","Relatively Low","Relatively Moderate","No Rating","Very Low","Relatively High","Insufficient Data"
"2","15001020100","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"3","15007040500","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"4","15001021010","Relatively Moderate","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"5","15001021101","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"6","15007040603","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"7","15007040700","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"8","15009030100","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"9","15009030201","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","No Rating","Insufficient Data"
"10","15001021402","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"11","15001021800","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"12","15009030402","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"13","15009030800","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"14","15003010201","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"15","15007040604","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"16","15009030303","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"17","15009030403","Very Low","Relatively Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"18","15009030404","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"19","15001021601","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Very High","Insufficient Data"
"20","15001021013","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"21","15001021702","Relatively Moderate","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"22","15001021704","Relatively Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"23","15001021902","Relatively Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively High","Insufficient Data"
"24","15003007502","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","Very Low","Insufficient Data"
"25","15001020202","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"26","15001020300","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Very High","Insufficient Data"
"27","15003009507","Very Low","Very Low","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"28","15009031502","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"29","15009031700","Very Low","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"30","15001021202","Relatively Moderate","Relatively High","Relatively Low","Very Low","No Rating","Very Low","Very Low","Insufficient Data"
"31","15001021300","Relatively Moderate","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Very High","Insufficient Data"
"32","15003010308","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"33","15001021504","Relatively Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"34","15001021604","Relatively Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"35","15001022000","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"36","15001022102","Relatively Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"37","15001021509","Relatively Moderate","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"38","15003010100","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"39","15003010202","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"40","15003000114","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"41","15003000301","Very Low","Relatively Low","Relatively Low","Very Low","No Rating","Very Low","Relatively Moderate","Insufficient Data"
"42","15003000401","Very Low","Relatively Moderate","Relatively Low","Very Low","No Rating","Very Low","Relatively Low","Insufficient Data"
"43","15003000500","Very Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"44","15003001100","Very Low","Relatively High","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"45","15003001400","Very Low","Relatively Moderate","Relatively Low","No Rating","No Rating","Very Low","No Rating","Insufficient Data"
"46","15003001901","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","Very High","Insufficient Data"
"47","15003001904","Relatively Low","Relatively Low","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"48","15003002202","Very Low","Relatively Moderate","Relatively Low","Relatively Low","No Rating","Very Low","Relatively High","Insufficient Data"
"49","15003002600","Relatively Low","Relatively High","Relatively Low","Relatively Low","No Rating","Very Low","No Rating","Insufficient Data"
