OID_,Join_Count,FloodDistM,TARGET_FID,DEVELOPMEN,LATITUDE,LONGITUDE,STATE_NAME,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,GFID,Shape_Leng,Shape_Area,FldZone_YN,TRACT_2010,TRACT_2020,BLOCK_2010,BLOCK_2020
0,1,2992.337961,0,LA130000001,30.23998,-92.180929,LA,22001C,1.1.1.0,22001C_577,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,0,0, ,22001C_STUDY1,20110509LOMR,0.031607656,2.01763e-05,No,22055002001.0,22055002001.0,220550020013000.0,220550020013000.0
1,1,14016.67428,1,GA006000772,33.768702,-84.394727,GA,13063C,2.3.2.1,13063C_2416,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999,F,13063C_STUDY1,5ff78f1b-0a81-4173-b34e-4b21393489fc,0.050568077,1.10753e-05,No,13121002100.0,13121002100.0,131210021002001.0,131210021002001.0
2,1,13985.8903,2,GA006000770,33.768652,-84.392906,GA,13063C,2.3.2.1,13063C_2416,SFHAs WITH HIGH FLOOD RISK,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999,F,13063C_STUDY1,5ff78f1b-0a81-4173-b34e-4b21393489fc,0.050568077,1.10753e-05,No,13121001901.0,13121001901.0,131210019011001.0,131210019011001.0
3,1,4377.215324,3,DC001001830,38.906725,-77.014991,DC,51013C,1.1.1.0,51013C_156,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,51013C_STUDY1,05486e10-5637-4bd2-92d0-6ee79c048650,0.335716174,0.000143468,No,11001004600.0,11001004600.0,110010046002019.0,110010046002019.0
4,1,366145.4365,4,CA019000180,34.511681,-117.179101,CA,32017C,1.1.1.0,32017C_895,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,32017C_FIRM1, ,0.039998079,2.09848e-05,No,6071009713.0,6071009713.0,60710097135004.0,60710097135004.0
5,1,0.0,5,LA101000001,30.478263,-90.954415,LA,22063C,1.1.1.0,22063C_3246,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,22063C_STUDY2,20140410,9.452555218,0.031318757,Yes,22063040601.0,22063040601.0,220630406014020.0,220630406014020.0
6,1,2588.129236,6,LA047000001,29.8768,-92.0545,LA,22113C,1.1.1.0,22113C_1797,NP,AE, ,T,13.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,22113C_STUDY2, ,0.531292879,0.00123555,No,22113951002.0,22113951002.0,221139510022016.0,221139510022016.0
7,1,109.5832987,7,LA001007303,29.951841,-90.091428,LA,22071C,1.1.1.0,22071C_4621,NP,AE, ,T,-1.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,22071C_STUDY13,0697272b-b9a1-4de0-8722-710b95df5eb9,0.000873695,1.447e-08,No,22071006900.0,22071006900.0,220710069001017.0,220710069001017.0
8,1,40610.39557,8,NC013000013,35.983339,-78.845625,NC,37033C,1.1.1.0,37033C_757,NP,AE, ,T,-9999.0, ,-9999, ,-9999, , , ,-9999,-9999, ,37033C_STUDY4,84bd0174-41ee-466e-9472-7a368d462886,0.065655611,1.35369e-05,No,37063001802.0,37063001802.0,370630018023009.0,370630018023009.0
9,1,2538.621643,9,PA002000129,39.969513,-75.153273,PA,34007C,1.1.1.0,34007C_1144,NP,AE, ,T,10.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,34007C_STUDY7,70a00d97-1cbf-40b1-aa86-1268ca5f66c6,0.003167538,6.5776e-07,No,42101014100.0,42101014100.0,421010141001033.0,421010141001033.0
10,1,99728.53989,10,MA003000301,42.364961,-71.093306,MA,25007C,1.1.1.0,25007C_409,NP,AE, ,T,12.0,NAVD88,-9999,Feet,-9999, , , ,-9999,-9999, ,25007C_STUDY1,275a8baa-7cf7-4855-a7b8-2a78d0f92a04,0.119942238,3.4304e-05,No,25017352400.0,25017352400.0,250173524001015.0,250173524001015.0
