DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county,age,total_pop,total_white,total_black,total_hispanic,poverty,income,public_assistance,owner,renter,vehicles,prop_value,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,disability_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c
LA130000001,LA,22,70529,66,2013-06-24,0,2013,30.209690000000002,-92.1881645,4027.6972045,220550019073024,220550019073,22055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,224719,150984,56848,8999,54098,222220,51462,86504,56659,29845,86504,162500
GA006000772,GA,13,30313,91,2013-07-26,0,2013,33.768801249999996,-84.39413025,14019.47635,131210021002000,131210021002,13121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,948554,386845,413677,73564,206393,939985,56857,368184,198367,169817,368184,238200
GA006000770,GA,13,30313,90,2013-07-25,0,2013,33.76871533333333,-84.39192866666667,13980.292353333332,131210019011000,131210019011,13121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,948554,386845,413677,73564,206393,939985,56857,368184,198367,169817,368184,238200
DC001001830,DC,11,20001,69,2014-02-26,0,2014,38.911414,-77.01893866666666,4330.341296,110010048013005,110010048013,11001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,633736,224184,308766,62637,113596,623129,69235,267415,111198,156217,267415,454500
CA019000180,CA,06,92307,84,2013-11-19,0,2013,34.60736775,-117.198397,357766.8571,060710121011049,060710121011,06071,30.1,904,311,228,365,217,34118,278,204,74,278,223900,31.9,2056915,667933,170307,1026596,459664,2017819,54090,603879,373813,230066,603879,222300
LA101000001,LA,22,70726,87,2013-10-31,1,2013,30.478263,-90.954415,0,220630406014020,220630406014,22063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,130192,116669,7275,4026,34363,129373,56811,46246,36835,9411,46246,152500
LA047000001,LA,22,70533,89,2014-03-18,0,2014,29.905622333333334,-92.04718566666666,1733.4758613333333,221139510022009,221139510022,22113,43.5,877,570,237,59,270,48250,359,247,112,359,95000,36.3,58784,46477,8223,1652,15415,58276,47344,21623,16322,5301,21623,97600
LA001007303,LA,22,70125,71,2014-04-08,0,2014,29.951205,-90.09249733333333,47.69728093,220710069001017,220710069001,22071,35.3,354,0,354,0,51,18438,103,0,103,103,NA,35.1,368471,113105,217983,19911,77261,363569,36964,150409,70478,79931,150409,184100
NC013000013,NC,37,27703,69,2014-05-01,0,2014,35.988344,-78.8718465,38632.589385,370630010014000,370630010014,37063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,282422,118843,105182,37889,67146,276903,52038,113564,61774,51790,113564,180200
PA002000129,PA,42,19123,97,2014-04-02,0,2014,39.969254666666664,-75.15368466666666,2552.2674406666665,421010141001032,421010141001,42101,34.7,1213,277,596,164,157,14286,536,25,511,536,368200,33.6,1546920,560007,646030,201575,308324,1531799,37460,580297,306823,273474,580297,143200
