DEVELOPMENT_ID,LATITUDE,LONGITUDE,STATE_NAME
LA130000001,30.23998,-92.180929,LA
GA006000772,33.768702,-84.394727,GA
GA006000770,33.768652,-84.392906,GA
DC001001830,38.906725,-77.014991,DC
CA019000180,34.511681,-117.179101,CA
LA101000001,30.478263,-90.954415,LA
LA047000001,29.8768,-92.0545,LA
LA001007303,29.951841,-90.091428,LA
NC013000013,35.983339,-78.845625,NC
PA002000129,39.969513,-75.153273,PA
MA003000301,42.364961,-71.093306,MA
PA002000132,40.040464,-75.145217,PA
PA002000100,39.995314,-75.188564,PA
OH005000001,39.769013,-84.205466,OH
GA006000771,33.767972,-84.393049,GA
OH005000007,39.744055,-84.224989,OH
LA034000001,29.978578,-92.12316,LA
TX408000001,31.591181,-102.892801,TX
MS005000015,30.394729,-88.922941,MS
RQ005001021,18.4842,-67.0179,PR
RQ005005014,18.3985,-65.9857,PR
RQ005002016,18.4859,-66.8207,PR
RQ005010037,18.3995,-66.0253,PR
RQ005010057,18.4181,-66.0346,PR
RQ005009003,17.9748,-66.9057,PR
RQ005005015,18.3646,-65.9847,PR
RQ005009004,17.9748,-66.9057,PR
RQ005002028,18.412738,-66.326938,PR
RQ005001018,18.339084,-66.989742,PR
RQ005009025,17.9933,-66.6227,PR
RQ005010029,18.448076,-66.081171,PR
RQ005008022,18.1799,-67.1492,PR
RQ005001019,18.3431,-67.0038,PR
RQ005009007,18.2199,-66.5914,PR
RQ005010060,18.463287,-66.100639,PR
RQ005010042,18.408782,-66.028265,PR
RQ005002031,18.4476,-66.3981,PR
RQ005008005,18.2618,-66.9884,PR
RQ005004001,18.2571,-66.1053,PR
RQ005008016,18.2042,-67.1444,PR
RQ005005012,18.3988,-65.9574,PR
RQ005005030,18.1519,-65.4466,PR
RQ005002013,18.2869,-66.4768,PR
RQ005010002,18.4628,-66.0979,PR
RQ005001003,18.3802,-67.1807,PR
RQ005006010,18.1644,-66.1558,PR
RQ005006002,18.183394,-66.304191,PR
RQ005010035,18.393167,-66.013628,PR
RQ005009001,18.1719,-66.7195,PR
RQ005009031,18.0421,-66.5885,PR
RQ005006033,17.9686,-66.4004,PR
AR102000001,35.433794,-93.681571,AR
FL005000847,25.566952,-80.374542,FL
FL005000049,25.842811,-80.236319,FL
FL005000838,25.80394,-80.225874,FL
FL005000853,25.789459,-80.208069,FL
FL005000832,25.776995,-80.200621,FL
