STATE,COUNTY
Alabama,Baldwin
Alabama,Clarke
Alabama,Mobile
Alabama,Monroe
Alabama,Washington
Alaska,Anchorage
Alaska,Chugach
Alaska,Dillingham
Alaska,Hoonah-Angoon
Alaska,Juneau
Alaska,Kenai Peninsula
Alaska,Nome
Alaska,Northwest Arctic
Alaska,Petersburg
Alaska,Sitka
Alaska,Wrangell
California,Alameda
California,Contra Costa
California,Del Norte
California,Humboldt
California,Los Angeles
California,Marin
California,Mendocino
California,Monterey
California,Napa
California,Orange
California,San Diego
California,San Francisco
California,San Luis Obispo
California,San Mateo
California,Santa Barbara
California,Santa Clara
California,Santa Cruz
California,Solano
California,Sonoma
California,Ventura
Connecticut,Fairfield
Connecticut,Hartford
Connecticut,Middlesex
Connecticut,New Haven
Connecticut,New London
Delaware,Kent
Delaware,New Castle
Delaware,Sussex
District of Columbia,District of Columbia
Florida,Bay
Florida,Brevard
Florida,Broward
Florida,Calhoun
Florida,Charlotte
Florida,Citrus
Florida,Clay
Florida,Collier
Florida,DeSoto
Florida,Dixie
Florida,Duval
Florida,Escambia
Florida,Flagler
Florida,Franklin
Florida,Gilchrist
Florida,Glades
Florida,Gulf
Florida,Hardee
Florida,Hendry
Florida,Hernando
Florida,Hillsborough
Florida,Indian River
Florida,Jefferson
Florida,Lafayette
Florida,Lake
Florida,Lee
Florida,Leon
Florida,Levy
Florida,Liberty
Florida,Manatee
Florida,Marion
Florida,Martin
Florida,Miami-Dade
Florida,Monroe
Florida,Nassau
Florida,Okaloosa
Florida,Palm Beach
Florida,Pasco
Florida,Pinellas
Florida,Putnam
Florida,St. Johns
Florida,St. Lucie
Florida,Santa Rosa
Florida,Sarasota
Florida,Suwannee
Florida,Taylor
Florida,Volusia
Florida,Wakulla
Florida,Walton
Florida,Washington
Georgia,Brantley
Georgia,Bryan
Georgia,Camden
Georgia,Charlton
Georgia,Chatham
Georgia,Effingham
Georgia,Glynn
Georgia,Liberty
Georgia,Long
Georgia,McIntosh
Georgia,Wayne
Hawaii,Hawaii
Hawaii,Honolulu
Hawaii,Kalawao
Hawaii,Kauai
Hawaii,Maui
Illinois,Cook
Illinois,Lake
Indiana,Lake
Indiana,LaPorte
Indiana,Porter
Louisiana,Acadia
Louisiana,Allen
Louisiana,Ascension
Louisiana,Assumption
Louisiana,Beauregard
Louisiana,Calcasieu
Louisiana,Cameron
Louisiana,East Baton Rouge
Louisiana,Iberia
Louisiana,Iberville
Louisiana,Jefferson
Louisiana,Jefferson Davis
Louisiana,Lafayette
Louisiana,Lafourche
Louisiana,Livingston
Louisiana,Orleans
Louisiana,Plaquemines
Louisiana,Pointe Coupee
Louisiana,St. Bernard
