statefips,fips,year,totaldamage,totaldamagepc,sovi_score,sovi_ratng,sovi_value,countyarea,floodzoneratio,hurrexpo,leveearea,coaststate,shoreline,coastcnty
1000,1001,1990,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1991,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1992,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1993,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1994,799.6500244,0.020919999,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1995,3456497.922,88.27956134,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1996,38520.93457,0.957019985,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1997,31503.81445,0.762929976,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1998,102513.4883,2.429619908,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,1999,483708.1719,11.21252012,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2000,307626.582,7.011910081,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2001,73607.75977,1.656570077,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2002,53358.46875,1.181620002,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2003,727152.6953,15.8898803,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2004,13801.94531,0.294070005,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2005,565539.7871,11.81406981,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2006,11168.95996,0.227449998,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2007,5715.600098,0.114689998,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2008,23393.13916,0.464570016,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2009,1768206.445,34.83738051,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2010,22826.04492,0.41742,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2011,47152.82813,0.853060007,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2012,1032.329956,0.0187,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2013,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2014,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2015,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2016,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2017,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2018,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1001,2019,0,0,25.857311,Relatively Low,-3.1700001,1565518336,0.1049239,9.1783028,1.918748781,,0,0
1000,1003,1990,1339157.875,13.53765011,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1991,0,0,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1992,9291.469727,0.087470002,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1993,0,0,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1994,40422.43359,0.348969996,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1995,11876200.3,98.99968356,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1996,382062.125,3.074679911,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1997,31031382.94,240.9830226,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1998,25458111.53,191.6204059,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,1999,112391.0161,0.827499975,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2000,72949.49219,0.516059995,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2001,156583.7871,1.079970002,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2002,2856324.883,19.28113058,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2003,673050.998,4.43652004,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2004,12547.21973,0.080140002,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2005,2166284.463,13.32571958,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2006,78770.53516,0.467429996,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2007,145747.9316,0.843369991,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2008,1207635.977,6.8533099,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2009,8929414.664,49.64149994,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2010,11956.50488,0.065260001,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2011,12117.49023,0.064910002,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2012,26324.43945,0.138139993,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2013,89279.32422,0.456800006,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2014,27176218.75,135.8057156,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2015,150000,0.736339986,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2016,34916.32031,0.168259997,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2017,10012025.94,47.08705044,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2018,7079.160156,0.032469999,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1003,2019,7773.915039,0.034820002,34.292473,Relatively Low,-1.03,5249724416,0.38060126,48.339241,0,AL,1,1
1000,1005,1990,1339157.875,52.61503983,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1991,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1992,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1993,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1994,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1995,3458830.762,129.7142584,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1996,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1997,11075.55957,0.414090008,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1998,196302.4199,7.287730038,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,1999,53350.16406,1.996189952,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2000,11699.44531,0.402940005,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2001,40818.84521,1.396799982,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2002,11198.69043,0.382349998,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2003,5152.544922,0.174779996,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2004,3764.169922,0.127780005,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2005,100729.1953,3.420119941,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2006,14695.99512,0.497229993,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2007,1143.119995,0.03844,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2008,22292.27554,0.747160014,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2009,49162.88159,1.653249986,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2010,3260.86499,0.119290002,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2011,7112.435059,0.261249989,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2012,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2013,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2014,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2015,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2016,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2017,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2018,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1005,2019,0,0,34.686638,Relatively Low,-0.93000001,2342695936,0.11604812,17.818621,0,,0,0
1000,1007,1990,3367947.313,201.9758453,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1991,0,0,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1992,844.6799927,0.049139999,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1993,0,0,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1994,67970.44531,3.852540016,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1995,3437213.07,191.083674,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1996,61180.29785,3.351250112,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1997,17720.90039,0.95073998,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1998,128687.1406,6.777650118,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,1999,32010.09961,1.633090019,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2000,17205.07031,0.863020003,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2001,44164.66138,2.10890995,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2002,1317.494995,0.062789999,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2003,49593.23047,2.357429981,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2004,53953.04541,2.54399991,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2005,326459.6636,15.27297005,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2006,8229.759766,0.386649996,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2007,11431.20996,0.532060027,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2008,7155.549805,0.331440002,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2009,203832.6028,9.442380451,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
1000,1007,2010,13586.92969,0.593859971,21.482065,Very Low,-4.2800002,1621746944,0.20545034,5.9275198,0,,0,0
