DEVELOPMENT_ID,DEVELOPMENT_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME.x,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,PHA_CODE,INSPECTION_SCORE,FloodDistM,in_floodplain,census_code,block_group,county,inspection_year,tract,TRACT_2010,TRACT_2020,BLOCK_2010,BLOCK_2020,geometry,index_right,BLOCKID10
AL001000043,MASON CITY IV,13820.0,Jefferson,73.0,AL,1,35211.0,33.468794,-86.851364,AL001,99.0,31711.85365,0.0,10730130021027.0,10730130021.0,1073.0,2015.0,1073013002.0,1073013002.0,1073013002.0,10730130021027.0,10730130021027.0,POINT (-86.851364 33.468794),103329.0,10730130021009.0
AL005000002,DOUGLAS,17980.0,Russell,113.0,AL,1,36867.0,32.4743,-85.0044,AL005,97.0,11156.54788,0.0,11130302002013.0,11130302002.0,1113.0,2015.0,1113030200.0,1113030200.0,1113030200.0,11130302002013.0,11130302002013.0,POINT (-85.0044 32.4743),210282.0,11130302002016.0
AL103000001,HOLMAN HOMES,20020.0,Geneva,61.0,AL,1,36344.0,31.106004,-85.689132,AL103,85.0,12622.9893,0.0,10610504002037.0,10610504002.0,1061.0,2015.0,1061050400.0,1061050400.0,1061050400.0,10610504002037.0,10610504002037.0,POINT (-85.689132 31.106004),85346.0,10610504002043.0
AL174000002,LAUREL/JEFFERSON,10760.0,Tallapoosa,123.0,AL,1,35010.0,32.957687,-85.947663,AL174,90.0,3719.180115,0.0,11239620004013.0,11239620004.0,1123.0,2015.0,1123962000.0,1123962000.0,1123962000.0,11239620004013.0,11239620004013.0,POINT (-85.94766300000001 32.957687),231498.0,11239620004013.0
AL181000001,CRESTVIEW MANOR  PHASE II,99999.0,Conecuh,35.0,AL,1,36401.0,31.425956,-86.946147,AL181,80.0,50192.67848,0.0,10359606003013.0,10359606003.0,1035.0,2015.0,1035960600.0,1035960600.0,1035960600.0,10359606003013.0,10359606003013.0,POINT (-86.946147 31.425956),45756.0,10359606003050.0
AL006000008,SMILEY COURT,33860.0,Montgomery,101.0,AL,1,36108.0,32.334436,-86.349585,AL006,85.0,9215.827602,0.0,11010030003000.0,11010030003.0,1101.0,2016.0,1101003000.0,1101003000.0,1101003000.0,11010030003000.0,11010030003000.0,POINT (-86.349585 32.334436),197422.0,11010030003000.0
AL047000006,NORTHWOODS,26620.0,Madison,89.0,AL,1,35816.0,34.735516,-86.612626,AL047,96.0,28714.79767,0.0,10890012003000.0,10890012003.0,1089.0,2016.0,1089001200.0,1089001200.0,1089001200.0,10890012003000.0,10890012003000.0,POINT (-86.61262600000001 34.735516),160697.0,10890012003000.0
AL071000001,EARNEST COURTS,99999.0,Marion,93.0,AL,1,35563.0,33.96758,-87.922599,AL071,83.0,196.1094578,0.0,10939646002035.0,10939646002.0,1093.0,2016.0,1093964600.0,1093964600.0,1093964600.0,10939646002035.0,10939646002035.0,POINT (-87.92259900000001 33.96758),164547.0,10939646002050.0
AL174000001,SPRINGHILL/GUNTER,10760.0,Tallapoosa,123.0,AL,1,35010.0,32.938576,-85.969199,AL174,84.0,6132.501109,0.0,11239621003009.0,11239621003.0,1123.0,2016.0,1123962100.0,1123962100.0,1123962100.0,11239621003009.0,11239621003009.0,POINT (-85.969199 32.938576),233612.0,11239621002051.0
AL053000020,HAMILTON,99999.0,Marion,93.0,AL,1,35570.0,34.138143,-87.98775,AL053,92.0,448.6599969,0.0,10939643001030.0,10939643001.0,1093.0,2017.0,1093964300.0,1093964300.0,1093964300.0,10939643001030.0,10939643001030.0,POINT (-87.98775000000001 34.138143),164730.0,10939643002035.0
