"","DEVELOPMENT_ID","DEVELOPMENT_NAME","CBSA_CODE","COUNTY_NAME","COUNTY_CODE","STATE_NAME.x","STATE_CODE","ZIPCODE","LATITUDE","LONGITUDE","PHA_CODE","INSPECTION_SCORE","year","TRACT_2010","TRACT_2020","BLOCK_2010","BLOCK_2020","tract","block","block_group","FloodDistM","in_floodplain","age_c","total_pop_c","total_white_c","total_black_c","total_hispanic_c","poverty_c","income_c","public_assistance_c","owner_c","renter_c","vehicles_c","prop_value_c"
"1","AL001000043","MASON CITY IV",13820,"Jefferson",73,"AL",1,35211,33.468794,-86.851364,"AL001",99,2015,1073013002,1073013002,10730130021009,10730130021027,1073013002,10730130021009,10730130021,31711.85365,0,47.3,1599,13,1586,0,472,23182,732,428,304,732,68700
"2","AL005000002","DOUGLAS",17980,"Russell",113,"AL",1,36867,32.4743,-85.0044,"AL005",97,2015,1113030200,1113030200,11130302002016,11130302002013,1113030200,11130302002016,11130302002,11156.54788,0,25.7,2550,862,1517,65,701,16914,1006,174,832,1006,68000
"3","AL103000001","HOLMAN HOMES",20020,"Geneva",61,"AL",1,36344,31.106004,-85.689132,"AL103",85,2015,1061050400,1061050400,10610504002043,10610504002037,1061050400,10610504002043,10610504002,12622.9893,0,43.1,5764,4628,614,353,1582,35913,2388,1893,495,2388,86900
"4","AL174000002","LAUREL/JEFFERSON",10760,"Tallapoosa",123,"AL",1,35010,32.957687,-85.947663,"AL174",90,2015,1123962000,1123962000,11239620004013,11239620004013,1123962000,11239620004013,11239620004,3719.180115,0,39.8,4263,2279,1897,38,1198,35408,1628,1223,405,1628,100800
"5","AL181000001","CRESTVIEW MANOR  PHASE II",99999,"Conecuh",35,"AL",1,36401,31.425956,-86.946147,"AL181",80,2015,1035960600,1035960600,10359606003050,10359606003013,1035960600,10359606003050,10359606003,50192.67848,0,40,4122,1864,2235,0,1117,19719,1682,1125,557,1682,75200
"6","AL006000008","SMILEY COURT",33860,"Montgomery",101,"AL",1,36108,32.334436,-86.349585,"AL006",85,2016,1101003000,1101003000,11010030003000,11010030003000,1101003000,11010030003000,11010030003,9215.827602,0,29.7,3160,336,2584,197,857,23219,1189,545,644,1189,54600
"7","AL047000006","NORTHWOODS",26620,"Madison",89,"AL",1,35816,34.735516,-86.612626,"AL047",96,2016,1089001200,1089001200,10890012003000,10890012003000,1089001200,10890012003000,10890012003,28714.79767,0,26.7,3137,108,2958,0,806,12603,1262,297,965,1262,61400
"8","AL071000001","EARNEST COURTS",99999,"Marion",93,"AL",1,35563,33.96758,-87.922599,"AL071",83,2016,1093964600,1093964600,10939646002050,10939646002035,1093964600,10939646002050,10939646002,196.1094578,0,46.7,3311,2928,256,40,966,27417,1410,896,514,1410,88600
"9","AL174000001","SPRINGHILL/GUNTER",10760,"Tallapoosa",123,"AL",1,35010,32.938576,-85.969199,"AL174",84,2016,1123962100,1123962100,11239621002051,11239621003009,1123962100,11239621002051,11239621002,6132.501109,0,32.2,4158,1821,2313,0,1106,24468,1613,854,759,1613,91900
"10","AL053000020","HAMILTON",99999,"Marion",93,"AL",1,35570,34.138143,-87.98775,"AL053",92,2017,1093964300,1093964300,10939643002035,10939643001030,1093964300,10939643002035,10939643002,448.6599969,0,38.6,5052,4186,262,420,1410,45257,1904,1515,389,1904,88400
