"","DEVELOPMENT_ID","DEVELOPMENT_NAME","CBSA_CODE","COUNTY_NAME","COUNTY_CODE","STATE_NAME.x","STATE_CODE","ZIPCODE","LATITUDE","LONGITUDE","PHA_CODE","INSPECTION_SCORE","year","TRACT_2010","TRACT_2020","BLOCK_2010","BLOCK_2020","tract","block","block_group","FloodDistM","in_floodplain","age_c","total_pop_c","total_white_c","total_black_c","total_hispanic_c","poverty_c","income_c","public_assistance_c","owner_c","renter_c","vehicles_c","prop_value_c","county","RISK_RATNG","SOVI_RATNG","RESL_RATNG","CFLD_RISKR","HWAV_RISKR","HRCN_RISKR","RFLD_RISKR","WFIR_RISKR","risk_all","soc_vul","low_res","flood","heat","hurricane","wildfire"
"1","AL001000043","MASON CITY IV",13820,"Jefferson",73,"AL",1,35211,33.468794,-86.851364,"AL001",99,2015,1073013002,1073013002,10730130021009,10730130021027,1073013002,10730130021009,10730130021,31711.85365,0,47.3,1599,13,1586,0,472,23182,732,428,304,732,68700,1073,"Very High","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","No Rating","No Rating",1,1,0,0,0,0,0
"2","AL005000002","DOUGLAS",17980,"Russell",113,"AL",1,36867,32.4743,-85.0044,"AL005",97,2015,1113030200,1113030200,11130302002016,11130302002013,1113030200,11130302002016,11130302002,11156.54788,0,25.7,2550,862,1517,65,701,16914,1006,174,832,1006,68000,1113,"Relatively High","Relatively High","Relatively Moderate","Not Applicable","Relatively Low","Very Low","Relatively Low","No Rating",1,1,0,0,0,0,0
"3","AL103000001","HOLMAN HOMES",20020,"Geneva",61,"AL",1,36344,31.106004,-85.689132,"AL103",85,2015,1061050400,1061050400,10610504002043,10610504002037,1061050400,10610504002043,10610504002,12622.9893,0,43.1,5764,4628,614,353,1582,35913,2388,1893,495,2388,86900,1061,"Very Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Low","Relatively Moderate","Relatively High","Relatively Low",0,0,0,1,0,0,0
"4","AL174000002","LAUREL/JEFFERSON",10760,"Tallapoosa",123,"AL",1,35010,32.957687,-85.947663,"AL174",90,2015,1123962000,1123962000,11239620004013,11239620004013,1123962000,11239620004013,11239620004,3719.180115,0,39.8,4263,2279,1897,38,1198,35408,1628,1223,405,1628,100800,1123,"Very Low","Relatively Low","Relatively Moderate","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Relatively Low",0,0,0,0,0,0,0
"5","AL181000001","CRESTVIEW MANOR  PHASE II",99999,"Conecuh",35,"AL",1,36401,31.425956,-86.946147,"AL181",80,2015,1035960600,1035960600,10359606003050,10359606003013,1035960600,10359606003050,10359606003,50192.67848,0,40,4122,1864,2235,0,1117,19719,1682,1125,557,1682,75200,1035,"Relatively Low","Relatively High","Very Low","Not Applicable","Relatively Moderate","Very High","Relatively Low","Relatively Low",0,1,1,0,0,1,0
"6","AL006000008","SMILEY COURT",33860,"Montgomery",101,"AL",1,36108,32.334436,-86.349585,"AL006",85,2016,1101003000,1101003000,11010030003000,11010030003000,1101003000,11010030003000,11010030003,9215.827602,0,29.7,3160,336,2584,197,857,23219,1189,545,644,1189,54600,1101,"Very Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Moderate","No Rating",0,1,0,0,0,0,0
"7","AL047000006","NORTHWOODS",26620,"Madison",89,"AL",1,35816,34.735516,-86.612626,"AL047",96,2016,1089001200,1089001200,10890012003000,10890012003000,1089001200,10890012003000,10890012003,28714.79767,0,26.7,3137,108,2958,0,806,12603,1262,297,965,1262,61400,1089,"Relatively Low","Relatively High","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively High","No Rating",0,1,0,1,0,0,0
"8","AL071000001","EARNEST COURTS",99999,"Marion",93,"AL",1,35563,33.96758,-87.922599,"AL071",83,2016,1093964600,1093964600,10939646002050,10939646002035,1093964600,10939646002050,10939646002,196.1094578,0,46.7,3311,2928,256,40,966,27417,1410,896,514,1410,88600,1093,"Relatively Low","Relatively High","Relatively Low","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Very Low",0,1,1,0,0,0,0
"9","AL174000001","SPRINGHILL/GUNTER",10760,"Tallapoosa",123,"AL",1,35010,32.938576,-85.969199,"AL174",84,2016,1123962100,1123962100,11239621002051,11239621003009,1123962100,11239621002051,11239621002,6132.501109,0,32.2,4158,1821,2313,0,1106,24468,1613,854,759,1613,91900,1123,"Relatively Low","Relatively Moderate","Relatively Moderate","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Very Low",0,0,0,0,0,0,0
"10","AL053000020","HAMILTON",99999,"Marion",93,"AL",1,35570,34.138143,-87.98775,"AL053",92,2017,1093964300,1093964300,10939643002035,10939643001030,1093964300,10939643002035,10939643002,448.6599969,0,38.6,5052,4186,262,420,1410,45257,1904,1515,389,1904,88400,1093,"Relatively Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Very Low",0,0,1,0,0,0,0
"11","AL138000001","JOHN GEER CTS",46220,"Pickens",107,"AL",1,35466,33.321513,-87.894534,"AL138",98,2017,1107050000,1107050000,11070500002010,11070500002004,1107050000,11070500002010,11070500002,8.446655695,0,42.2,4951,3902,851,105,1274,42261,1907,1347,560,1907,97200,1107,"Very Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Moderate","Relatively Low","Relatively Low","Very Low",0,0,1,0,0,0,0
"12","AL100000001","COLUMBIA HA",20020,"Houston",69,"AL",1,36319,31.295482,-85.10641,"AL100",90,2017,1069041700,1069041700,10690417001007,10690417001006,1069041700,10690417001007,10690417001,29682.46142,0,46.5,1279,1098,139,16,353,32845,552,414,138,552,69100,1069,"Very Low","Relatively Moderate","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Moderate","Very Low",0,0,0,0,0,0,0
"13","AL006000006","GIBBS VILLAGE",33860,"Montgomery",101,"AL",1,36108,32.353919,-86.337802,"AL006",90,2017,1101001100,1101001100,11010011006002,11010011006002,1101001100,11010011006002,11010011006,6795.673142,0,43.1,3274,24,3221,17,716,16810,1272,578,694,1272,48200,1101,"Relatively Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","No Rating","No Rating",0,1,0,0,0,0,0
"14","AL006000002","PARKS PLACE",33860,"Montgomery",101,"AL",1,36108,32.36449,-86.317079,"AL006",93,2017,1101001200,1101001200,11010012002010,11010012002013,1101001200,11010012002010,11010012002,5238.131024,0,39.8,1433,26,1401,0,320,15885,617,227,390,617,51700,1101,"Relatively Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Low","No Rating",0,1,0,0,0,0,0
"15","AL006000013","The Plaza at Centennial Hill 2",33860,"Montgomery",101,"AL",1,36104,32.3686,-86.2921,"AL006",96,2017,1101000600,1101000600,11010006002027,11010006002040,1101000600,11010006002027,11010006002,5123.709986,0,32.3,1602,31,1512,46,368,19531,616,150,466,616,81200,1101,"Relatively Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Low","No Rating",0,1,0,0,0,0,0
"16","AL006000011","Victor Tulane Gardens",33860,"Montgomery",101,"AL",1,36104,32.373819,-86.291495,"AL006",93,2017,1101000600,1101000600,11010006001006,11010006001012,1101000600,11010006001006,11010006001,4609.147765,0,32.3,1602,31,1512,46,368,19531,616,150,466,616,81200,1101,"Relatively Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Low","No Rating",0,1,0,0,0,0,0
"17","AL006000009","RICHARDSON TERRACE",33860,"Montgomery",101,"AL",1,36104,32.375318,-86.29072,"AL006",98,2017,1101000600,1101000600,11010006001000,11010006001000,1101000600,11010006001000,11010006001,4487.798803,0,32.3,1602,31,1512,46,368,19531,616,150,466,616,81200,1101,"Relatively Low","Relatively High","Relatively High","Not Applicable","Relatively Low","Very Low","Relatively Low","No Rating",0,1,0,0,0,0,0
"18","AL047000060","GATEWAY PLACE",26620,"Madison",89,"AL",1,35801,34.723943,-86.58284,"AL047",91,2017,1089003100,1089003100,10890031003046,10890031003018,1089003100,10890031003046,10890031003,29374.48556,0,34.7,4761,2956,1551,123,478,48583,1200,479,721,1200,587700,1089,"Relatively Low","Relatively Low","Relatively Moderate","Not Applicable","Relatively Moderate","Very Low","Relatively Moderate","No Rating",0,0,0,0,0,0,0
"19","AL081000001","LYNNELLE DR APTS.",99999,"Marion",93,"AL",1,35543,34.280001,-87.694903,"AL081",91,2017,1093964000,1093964001,10939640001062,10939640011016,1093964000,10939640001062,10939640001,20434.46028,0,44.1,30058,27637,963,741,8780,35719,12453,9421,3032,12453,87200,1093,"Relatively Low","Relatively High","Relatively Low","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Relatively Low",0,1,1,0,0,0,0
"20","AL056000001","SOUTH HALEYVILLE",99999,"Winston",133,"AL",1,35565,34.231742,-87.621555,"AL056",94,2017,1133965700,1133965700,11339657002044,11339657002026,1133965700,11339657002044,11339657002,27732.56515,0,43.2,4111,3829,17,258,1010,37330,1644,1106,538,1644,112400,1133,"Relatively Low","Relatively Moderate","Relatively Low","Not Applicable","Relatively Low","Relatively Low","Relatively Low","Relatively Low",0,0,1,0,0,0,0
