"","year","tract","INSPECTION_SCORE","in_floodplain","age_t","total_pop_t","total_white_t","total_black_t","total_hispanic_t","poverty_t","income_t","public_assistance_t","owner_t","renter_t","vehicles_t","prop_value_t","area_t","pop_density_t","cf_riskscore_t","rf_riskscore_t","cf_riskscore_t2","rf_riskscore_t2","per_capita_income_t","yrPolicyCount_t","yrPaidOnBuildingClaim_t","yrPaidOnContentClaim_t","yrClaim_t","totPolicyCount_t","totPaidOnBuildingClaim_t","totPaidOnContentClaim_t","totClaim_t","unit_t","county","urbanrural"
"1",2013,1001020700,84,0,36,2744,2174,474,45,627,44792,1037,754,283,1037,98800,22.414817,122.4190231,0,84.15544879,0,83.82635949,27190,0,0,0,0,2,15298.2,0,2,1227,1001,1
"2",2013,1005950100,53,0,42.9,3420,1468,1726,181,876,39471,1267,973,294,1267,118500,485.263801,7.047713003,0,58.19816254,0,57.2758014,21482,0,0,0,0,7,478731.96,150215.75,7,1610,1005,2
"3",2013,1005950900,73,0,29.9,4133,1447,2457,106,1038,19938,1591,758,833,1591,117800,16.201445,255.1007024,0,33.9330733,0,32.83526695,16565,0,0,0,0,0,0,0,0,1869,1005,2
"4",2013,1007010004,89,0,36.5,8666,5232,3341,24,1762,30243,2424,1568,856,2424,86100,504.41673,17.18023905,0,51.05008956,0,57.23043932,13461,0,0,0,0,1,0,0,1,3080,1007,1
"5",2013,1011952200,97,0,39.6,5992,1055,4206,611,1134,29473,1927,1312,615,1927,69600,398.493737,15.03662277,0,63.98560282,0,63.65398361,16221,0,0,0,0,0,0,0,0,2157,1011,1
"6",2013,1013953200,92,0,44.7,3996,2312,1586,49,1185,32006,1677,1295,382,1677,78700,478.685849,8.347854879,0,65.5639062,0,64.6863144,19046,0,0,0,0,0,0,0,0,1971,1013,2
"7",2013,1015000600,96,0,36.3,2003,590,1367,39,380,15726,700,262,438,700,41700,6.794606,294.7926635,0,72.33647647,0,71.7449277,9664,0,0,0,0,1,17209.99,0,1,910,1015,1
"8",2013,1017953900,87,0,36.6,3499,1668,1762,25,976,29598,1289,793,496,1289,97800,98.33587,35.58213295,0,84.37068925,0,84.04629681,16417,0,0,0,0,3,87436.61,0,3,1524,1017,2
"9",2013,1027959000,91,0,45.6,3103,2296,514,281,889,26500,1362,821,541,1362,68600,179.59985,17.27729728,0,60.23284022,0,59.28135481,18900,0,0,0,0,0,0,0,0,1492,1027,1
"10",2013,1033020200,98,0,33.6,2074,1499,509,35,519,33707,846,475,371,846,83100,2.162419,959.1110696,0,40.19155999,0,40.00247429,18733,0,0,0,0,0,0,0,0,1072,1033,1
"11",2013,1033020300,94.5,0,33.2,1738,913,746,0,397,18622,864,374,490,864,42600,5.21342,333.3704171,0,80.62989768,0,80.2908671,13378,0,0,0,0,1,275000,0,1,1017,1033,1
"12",2013,1035960600,78,0,38.1,3901,2127,1754,0,1017,21212,1500,1015,485,1500,74600,675.050941,5.778823142,0,56.19202778,0,55.22763512,14690,0,0,0,0,0,0,0,0,2477,1035,2
"13",2013,1037961000,82,0,41.7,4204,1721,2254,112,1027,26882,1615,1251,364,1615,56000,251.377014,16.72388391,0,47.09722685,0,45.98751856,14981,0,0,0,0,0,0,0,0,1880,1037,2
"14",2013,1043965402,80,0,46.3,4207,4052,27,12,1232,30662,1742,1333,409,1742,98400,125.741724,33.45747033,0,57.43934622,0,56.48540166,19395,0,0,0,0,1,42446.92,0,1,1992,1043,2
"15",2013,1045020700,84,0,38.1,3135,1236,1763,54,678,20625,1394,613,781,1394,80100,12.204016,256.8826524,0,67.36681801,0,66.48705119,17491,0,0,0,0,1,0,0,1,1720,1045,2
"16",2013,1047956500,60,0,31.5,4023,140,3877,0,774,13025,1348,465,883,1348,49400,6.793768,592.1603446,0,88.34059439,0,88.11926101,10105,0,0,0,0,2,0,0,2,1799,1047,2
