development_id,address,city,cbsa_name,cbsa_code,county_name,county_code,state_name,zipcode,latitude,longitude
AK001000213,720 ZIMOVIA,WRANGELL,NA,99999,Wrangell Petersburg,280,AK,99929,56.2676,-132.0309
AK001000213,720 ZIMOVIA,WRANGELL,NA,99999,Wrangell,275,AK,99929,56.2676,-132.0309
AK001000213,720 ZIMOVIA,Wrangell,NA,99999,Wrangell,275,AK,99929,56.27,-132.0311
AK001006,104 Heintzleman Dr,Anchorage,"Anchorage, AK Metropolitan Statistical Area",99999,Anchorage,261,AK,99574,60.541132,-145.74205
AK001000216,700 CHASE AVE,CORDOVA,"Anchorage, AK Metropolitan Statistical Area",99999,Valdez Cordova,261,AK,99574,60.541132,-145.74205
AK001000216,104 Heintzleman Dr,CORDOVA,"Anchorage, AK Metropolitan Statistical Area",99999,Valdez-Cordova,261,AK,99574,60.541132,-145.74909
AK001000216,700 CHASE AVE,CORDOVA,"Anchorage, AK Metropolitan Statistical Area",99999,Valdez-Cordova,261,AK,99574,60.541132,-145.74909
AK001000216,700 CHASE AVE,Cordova,"Anchorage, AK Metropolitan Statistical Area",99999,Valdez-Cordova,261,AK,99574,60.543132,-145.74205
AK001000244,1201 S Century Cir,Wasilla,"Anchorage, AK Metropolitan Statistical Area",11260,Matanuska Susitna,170,AK,99654,61.569368,-149.448607
AK001000244,1201 S Century Cir,Wasilla,"Anchorage, AK Metropolitan Statistical Area",11260,Matanuska-Susitna,170,AK,99654,61.570194,-149.448884
AK001000244,1201 S Century Cir,Wasilla,"Anchorage, AK Metropolitan Statistical Area",11260,Matanuska-Susitna,170,AK,99654,61.569368,-149.448607
AK001008,3409 Foster Ave,Juneau,"Juneau, AK Micropolitan Statistical Area",11260,Juneau,20,AK,99501,61.203567,-149.85923
AK001000247,1281 E 19th Ave,Anchorage,"Anchorage, AK Metropolitan Statistical Area",11260,Anchorage,20,AK,99501,61.203567,-149.85923
