DEVELOPMENT_ID,DEVELOPMENT_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME.x,STATE_CODE,ZIPCODE,LATITUDE,LONGITUDE,PHA_CODE,INSPECTION_SCORE,FloodDistM,in_floodplain,census_code,block_group,county,inspection_year
LA130000001,Duson Housing Authority,29180,Lafayette,055,LA,22,70529,30.23998,-92.180929,LA130,66,2992.337961,0,220550020013000,220550020013,22055,2013
GA006000772,CENTENNIAL PLACE III,12060,Fulton,121,GA,13,30313,33.768702,-84.394727,GA006,91,14016.67428,0,131210021002001,131210021002,13121,2013
GA006000770,CENTENNIAL PLACE I,12060,Fulton,121,GA,13,30313,33.768652,-84.392906,GA006,90,13985.8903,0,131210019011001,131210019011,13121,2013
DC001001830,SCATTERED SITES,47900,District Of Columbia,001,DC,11,20001,38.906725,-77.014991,DC001,69,4377.215324,0,110010046002019,110010046002,11001,2014
CA019000180,SCATTERED SITES,40140,San Bernardino,071,CA,06,92307,34.511681,-117.179101,CA019,84,366145.4365,0,060710097135004,060710097135,06071,2013
LA101000001,UNNAMED,12940,Livingston,063,LA,22,70726,30.478263,-90.954415,LA101,87,0,1,220630406014020,220630406014,22063,2013
LA047000001,LA47-4,29180,Vermilion,113,LA,22,70533,29.8768,-92.0545,LA047,89,2588.129236,0,221139510022016,221139510022,22113,2014
LA001007303,B. W. COOPER,35380,Orleans,071,LA,22,70125,29.951841,-90.091428,LA001,71,109.5832987,0,220710069001017,220710069001,22071,2014
NC013000013,BIRCHWOOD,20500,Durham,063,NC,37,27703,35.983339,-78.845625,NC013,69,40610.39557,0,370630018023009,370630018023,37063,2014
PA002000129,CAMBRIDGE PHASE II,37980,Philadelphia,101,PA,42,19123,39.969513,-75.153273,PA002,97,2538.621643,0,421010141001033,421010141001,42101,2014
MA003000301,WASHINGTON ELMS,14460,Middlesex,017,MA,25,02139,42.364961,-71.093306,MA003,97,99728.53989,0,250173524001015,250173524001,25017,2014
PA002000132,Suffolk Manor,37980,Philadelphia,101,PA,42,19141,40.040464,-75.145217,PA002,98,8735.476729,0,421010278003001,421010278003,42101,2014
PA002000100,CECIL B MOORE HOMES,37980,Philadelphia,101,PA,42,19132,39.995314,-75.188564,PA002,96,6672.306445,0,421019800011000,421019800011,42101,2014
OH005000001,GRAND AVENUE (ELDERLY),19430,Montgomery,113,OH,39,45405,39.769013,-84.205466,OH005,91,20388.71648,0,391131652002022,391131652002,39113,2014
GA006000771,CENTENNIAL PLACE II,12060,Fulton,121,GA,13,30313,33.767972,-84.393049,GA006,92,13912.64852,0,131210021002000,131210021002,13121,2014
OH005000007,DESOTO BASS COURTS,19430,Montgomery,113,OH,39,45417,39.744055,-84.224989,OH005,89,23163.34131,0,391130041001021,391130041001,39113,2014
LA034000001,LA34-1,29180,Vermilion,113,LA,22,70510,29.978578,-92.12316,LA034,87,284.9094239,0,221139508003001,221139508003,22113,2014
TX408000001,UNNAMED,99999,Ward,475,TX,48,79756,31.591181,-102.892801,TX408,90,149587.4045,0,484759503001056,484759503001,48475,2014
MS005000015,SEASHORE OAKS,25060,Harrison,047,MS,28,39530,30.394729,-88.922941,MS005,63,5277.608067,0,280470006002017,280470006002,28047,2014
AR102000001,COAL HILL,99999,Johnson,071,AR,05,72832,35.433794,-93.681571,AR102,96,3487.424076,0,050719518002070,050719518002,05071,2014
