DEVELOPMENT_ID,STATE_NAME.x,STATE_CODE,ZIPCODE,INSPECTION_SCORE,INSPECTION_DATE,in_floodplain,inspection_year,latitude,longitude,distance_to_floodzone,census_code,block_group,county
LA130000001,LA,22,70529,66,2013-06-24,0,2013,30.209690000000002,-92.1881645,4027.6972045,220550019073024,220550019073,22055
GA006000772,GA,13,30313,91,2013-07-26,0,2013,33.768801249999996,-84.39413025,14019.47635,131210021002000,131210021002,13121
GA006000770,GA,13,30313,90,2013-07-25,0,2013,33.76871533333333,-84.39192866666667,13980.292353333332,131210019011000,131210019011,13121
DC001001830,DC,11,20001,69,2014-02-26,0,2014,38.911414,-77.01893866666666,4330.341296,110010048013005,110010048013,11001
CA019000180,CA,06,92307,84,2013-11-19,0,2013,34.60736775,-117.198397,357766.8571,060710121011049,060710121011,06071
LA101000001,LA,22,70726,87,2013-10-31,1,2013,30.478263,-90.954415,0,220630406014020,220630406014,22063
LA047000001,LA,22,70533,89,2014-03-18,0,2014,29.905622333333334,-92.04718566666666,1733.4758613333333,221139510022009,221139510022,22113
LA001007303,LA,22,70125,71,2014-04-08,0,2014,29.951205,-90.09249733333333,47.69728093,220710069001017,220710069001,22071
NC013000013,NC,37,27703,69,2014-05-01,0,2014,35.988344,-78.8718465,38632.589385,370630010014000,370630010014,37063
PA002000129,PA,42,19123,97,2014-04-02,0,2014,39.969254666666664,-75.15368466666666,2552.2674406666665,421010141001032,421010141001,42101
MA003000301,MA,25,02139,97,2014-07-15,0,2014,42.366494,-71.0924142,99868.16680600001,250173524001003,250173524001,25017
PA002000132,PA,42,19141,98,2014-06-03,0,2014,40.04044733333333,-75.14509133333334,8729.299651,421010278003001,421010278003,42101
PA002000100,PA,42,19132,96,2014-07-15,0,2014,39.995314,-75.188564,6672.306445,421019800011000,421019800011,42101
OH005000001,OH,39,45405,91,2014-09-10,0,2014,39.76907533333333,-84.205744,20406.207753333332,391131652002022,391131652002,39113
GA006000771,GA,13,30313,92,2014-10-10,0,2014,33.7685355,-84.39269300000001,13970.243925,131210019011001,131210019011,13121
OH005000007,OH,39,45417,89,2014-09-08,0,2014,39.7437005,-84.22542899999999,23215.503235,391130041001021,391130041001,39113
LA034000001,LA,22,70510,87,2014-11-12,0,2014,29.9787285,-92.123865,352.74351885,221139508003002,221139508003,22113
TX408000001,TX,48,79756,90,2014-10-27,0,2014,31.5929045,-102.8907185,149323.57925,484759502001037,484759502001,48475
MS005000015,MS,28,39530,63,2014-10-15,0,2014,30.394625,-88.922663,5266.628733,280470006002017,280470006002,28047
AR102000001,AR,05,72832,96,2014-11-17,0,2014,35.43379266666666,-93.681841,3495.036337333333,050719518002078,050719518002,05071
FL005000847,FL,12,33189,90,2015-01-22,0,2015,25.567112166666668,-80.374542,173483.88426666666,120860105014001,120860105014,12086
FL005000049,FL,12,33147,96,2015-02-19,0,2015,25.84266675,-80.23574725,147410.4303,120860010045007,120860010045,12086
FL005000838,FL,12,33142,97,2014-09-30,0,2014,25.8035512,-80.22585839999999,151805.64464,120860024042002,120860024042,12086
FL005000853,FL,12,33136,100,2014-09-17,0,2014,25.7878855,-80.20950074999999,153943.084275,120860030011015,120860030011,12086
FL005000832,FL,12,33128,96,2014-11-18,0,2014,25.777507666666665,-80.20138133333333,155277.8999,120860036061010,120860036061,12086
FL005000817,FL,12,33142,99,2014-12-12,0,2014,25.8237305,-80.234524,149430.891775,120860018031000,120860018031,12086
FL005000833,FL,12,33136,95,2014-11-17,0,2014,25.791559799999998,-80.20798119999999,153605.62915999998,120860030011010,120860030011,12086
FL005000822,FL,12,33142,96,2014-12-10,0,2014,25.823924,-80.233692,149435.5806,120860018031000,120860018031,12086
FL080000006,FL,12,33415,98,2014-12-15,0,2014,26.6689925,-80.116734,75012.7784425,120990039021004,120990039021,12099
FL005000837,FL,12,33142,97,2014-12-23,0,2014,25.802902,-80.227677,151819.0525,120860024042003,120860024042,12086
FL005000824,FL,12,33142,94,2014-12-11,0,2014,25.827722333333334,-80.23461433333334,149009.88270000002,120860018013018,120860018013,12086
FL005000826,FL,12,33055,96,2014-12-18,0,2014,25.924851,-80.2795844,137491.09412,120860005072000,120860005072,12086
FL005000821,FL,12,33138,97,2014-10-30,0,2014,25.8393498,-80.1942022,149066.85196,120860020011004,120860020011,12086
NJ049000003,NJ,34,08302,96,2015-02-02,0,2015,39.440398,-75.228764,275.6243414,340110203011000,340110203011,34011
OK073000017,OK,40,74107,99,2015-01-07,0,2015,36.0819415,-96.0377,8840.16023,401430067012053,401430067012,40143
OK073000019,OK,40,74106,97,2014-12-29,0,2014,36.175105333333335,-95.96834866666667,3154.397169,401430012001026,401430012001,40143
TX018000022,TX,48,79414,92,2015-01-05,0,2015,33.545066000000006,-101.913533,70300.050555,483030018072002,483030018072,48303
TX023000015,TX,48,77703,95,2015-02-20,0,2015,30.11574,-94.113146,4907.16896,482450007002009,482450007002,48245
TX023000016,TX,48,77708,99,2015-02-19,0,2015,30.1231365,-94.1390965,4648.120817,482450005001000,482450005001,48245
TX003000012,TX,48,79924,99,2015-01-26,0,2015,31.8158005,-106.359638,120683.9576,481419800001005,481419800001,48141
TX018000021,TX,48,79412,97,2015-01-06,0,2015,33.563161,-101.83396099999999,67034.08059,483030025001026,483030025001,48303
TX073000006,TX,48,78577,99,2015-01-15,0,2015,26.202297,-98.19191,65613.68412,482150216003010,482150216003,48215
TX240000001,TX,48,76384,89,2015-01-26,0,2015,34.1567305,-99.3023235,53778.563765,484879505003022,484879505003,48487
TX073000003,TX,48,78577,98,2015-02-04,0,2015,26.195294,-98.192448,65989.94709,482150214015003,482150214015,48215
TX439000001,TX,48,79821,97,2015-01-29,0,2015,31.9970935,-106.59572449999999,92625.37206,481410102032032,481410102032,48141
TX073000007,TX,48,78577,99,2015-01-13,0,2015,26.203121,-98.185719,65009.71835,482150216003000,482150216003,48215
TX073000005,TX,48,78577,91,2015-01-14,0,2015,26.129556,-98.187136,68941.64531,482150213132009,482150213132,48215
TX073000004,TX,48,78577,94,2015-01-14,0,2015,26.129657,-98.187832,68996.06934,482150213132009,482150213132,48215
IN030000001,IN,18,47501,98,2015-03-09,0,2015,38.651498,-87.173128,29535.63453,180279548004012,180279548004,18027
KS033000001,KS,20,67467,99,2015-02-17,0,2015,39.124279,-97.710759,20981.04571,201430857003013,201430857003,20143
KS086000001,KS,20,67437,96,2015-03-05,0,2015,39.50443,-98.549822,70680.24339,201414741001180,201414741001,20141
KS091000001,KS,20,67601,95,2015-03-04,0,2015,38.873711,-99.307596,103730.451,200510727015016,200510727015,20051
KS071000001,KS,20,67846,99,2015-03-03,0,2015,37.975894,-100.864832,72457.69629,200559603001024,200559603001,20055
KS059000001,KS,20,67107,97,2015-02-18,0,2015,38.20924,-97.517336,53425.11071,201137887003098,201137887003,20113
KS068000001,KS,20,66048,99,2015-03-16,0,2015,39.319592,-94.910907,311.3562016,201030701001026,201030701001,20103
KS066000001,KS,20,67135,95,2015-02-19,0,2015,37.909629,-97.426657,48550.95379,201730102021004,201730102021,20173
KS155000001,KS,20,67335,98,2015-02-24,0,2015,37.2673915,-95.560224,19724.777560000002,201259502001120,201259502001,20125
MN002000006,MN,27,55454,95,2015-02-04,0,2015,44.967414,-93.247508,3456.415805,270531048011004,270531048011,27053
MS005000008,MS,28,39530,89,2015-03-25,0,2015,30.406754,-88.883329,2309.820072,280470040001020,280470040001,28047
NE115000001,NE,31,69129,99,2015-03-13,0,2015,41.097875,-102.469347,178608.8912,310499554001023,310499554001,31049
NE120000001,NE,31,69138,93,2015-03-17,0,2015,40.938292,-100.15520000000001,70403.790675,310479682001061,310479682001,31047
NJ005000003,NJ,34,08638,94,2015-04-27,0,2015,40.2332305,-74.7610545,17815.242964999998,340210017001018,340210017001,34021
TX102000001,TX,48,76657,97,2015-03-12,0,2015,31.439512999999998,-97.41736850000001,24457.732175,483090039022068,483090039022,48309
TX186000001,TX,48,76255,96,2015-03-19,0,2015,33.781386499999996,-97.72840550000001,7702.5990115,483379503002060,483379503002,48337
TX147000001,TX,48,78119,99,2015-02-23,0,2015,28.827449,-97.845388,188.9151175,482559703021026,482559703021,48255
TX188000001,TX,48,75567,94,2015-03-23,0,2015,33.332556,-94.340993,16542.667435000003,480370114021038,480370114021,48037
TX192000010,TX,48,76454,98,2015-03-10,0,2015,32.221,-98.80015,90245.054185,481339505001085,481339505001,48133
TX278000001,TX,48,76933,96,2015-03-09,0,2015,31.8883,-100.3169,89319.362005,480819501001126,480819501001,48081
TX291000001,TX,48,76051,98,2015-03-06,0,2015,32.93015,-97.0891,54807.869025,484391137121010,484391137121,48439
TX296000001,TX,48,78956,92,2015-03-10,0,2015,29.675959,-96.907808,17882.88237,481499706023024,481499706023,48149
TX317000001,TX,48,78362,95,2015-05-04,0,2015,27.870297,-97.21456649999999,22845.086844999998,484090103022015,484090103022,48409
TX320000001,TX,48,79772,89,2015-04-15,0,2015,31.425485,-103.500002,125212.149,483899502001060,483899502001,48389
TX347000001,TX,48,76050,98,2015-03-09,0,2015,32.2731755,-97.178954,72732.707875,482511305011051,482511305011,48251
TX350000001,TX,48,78154,98,2015-03-18,0,2015,29.557375,-98.272375,66015.46066,481872107062008,481872107062,48187
