tr2020gj,tr2020ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0100010020100,01001020100,G0100010020100,01001020100,0.9995057659,1,1,1,1,1,1,1
G0100010020100,01001020100,G0100010020200,01001020200,0.0004942341,0,0,0,0,0,0,0
G0100010020200,01001020200,G0100010020200,01001020200,1,1,1,1,1,1,1,1
G0100010020300,01001020300,G0100010020300,01001020300,1,1,1,1,1,1,1,1
G0100010020400,01001020400,G0100010020400,01001020400,1,1,1,1,1,1,1,1
G0100010020501,01001020501,G0100010020500,01001020500,1,1,1,1,1,1,1,1
G0100010020502,01001020502,G0100010020500,01001020500,1,1,1,1,1,1,1,1
G0100010020503,01001020503,G0100010020500,01001020500,1,1,1,1,1,1,1,1
G0100010020600,01001020600,G0100010020600,01001020600,1,1,1,1,1,1,1,1
G0100010020700,01001020700,G0100010020700,01001020700,1,1,1,1,1,1,1,1
G0100010020801,01001020801,G0100010020801,01001020801,1,1,1,1,1,1,1,1
G0100010020803,01001020803,G0100010020100,01001020100,0.0000528791,0,0,0,0,0,0,0
G0100010020803,01001020803,G0100010020802,01001020802,0.9999471209,1,1,1,1,1,1,1
G0100010020804,01001020804,G0100010020802,01001020802,1,1,1,1,1,1,1,1
G0100010020805,01001020805,G0100010020802,01001020802,1,1,1,1,1,1,1,1
G0100010020901,01001020901,G0100010020900,01001020900,1,1,1,1,1,1,1,1
G0100010020902,01001020902,G0100010020900,01001020900,1,1,1,1,1,1,1,1
G0100010021000,01001021000,G0100010021000,01001021000,0.9999282593,0.9989254093,0.9986114839,0.9982750986,0.9987857602,0.9985610727,0.9985335401,1
G0100010021000,01001021000,G0100010021100,01001021100,0.0000717407,0.0010745907,0.0013885161,0.0017249014,0.0012142398,0.0014389273,0.0014664599,0
G0100010021100,01001021100,G0100010021100,01001021100,1,1,1,1,1,1,1,1
G0100030010100,01003010100,G0100030010100,01003010100,1,1,1,1,1,1,1,1
G0100030010200,01003010200,G0100030010200,01003010200,0.9999524385,1,1,1,1,1,1,1
G0100030010200,01003010200,G0100030010500,01003010500,0.0000475615,0,0,0,0,0,0,0
G0100030010300,01003010300,G0100030010300,01003010300,1,0.9999939277,1,1,1,0.9999949337,1,1
G0100030010300,01003010300,G0100030010701,01003010701,0,0,0,0,0,0,0,0
G0100030010300,01003010300,G0100030010703,01003010703,0,0.0000060723,0,0,0,0.0000050663,0,0
G0100030010400,01003010400,G0100030010400,01003010400,1,1,1,1,1,1,1,1
G0100030010500,01003010500,G0100030010200,01003010200,0.0093798621,0.0016494845,0.0012635835,0.0017391304,0.0010655301,0.0009704027,0.0008368201,0.0014662757
G0100030010500,01003010500,G0100030010500,01003010500,0.9906201379,0.9983505155,0.9987364165,0.9982608696,0.9989344699,0.9990295973,0.9991631799,0.9985337243
G0100030010600,01003010600,G0100030010600,01003010600,1,1,1,1,1,1,1,1
G0100030010704,01003010704,G0100030010704,01003010704,0.9999543553,1,1,1,1,1,1,1
G0100030010704,01003010704,G0100030010705,01003010705,0.0000456447,0,0,0,0,0,0,0
G0100030010706,01003010706,G0100030010701,01003010701,1,1,1,1,1,1,1,1
G0100030010707,01003010707,G0100030010300,01003010300,0.0072430507,0,0,0,0,0,0,0
G0100030010707,01003010707,G0100030010701,01003010701,0.9927569493,1,1,1,1,1,1,1
G0100030010708,01003010708,G0100030010703,01003010703,1,1,1,1,1,1,1,1
G0100030010709,01003010709,G0100030010703,01003010703,0.9995750687,0.9918188037,0.9912783881,0.9901957454,0.9892055019,0.9896118718,0.997160315,0.9226343469
G0100030010709,01003010709,G0100030010705,01003010705,0.0004249313,0.0081811963,0.0087216119,0.0098042546,0.0107944981,0.0103881282,0.002839685,0.0773656531
G0100030010710,01003010710,G0100030010704,01003010704,0.0000836454,0,0,0,0,0,0,0
G0100030010710,01003010710,G0100030010705,01003010705,0.9999163546,1,1,1,1,1,1,1
G0100030010711,01003010711,G0100030010705,01003010705,1,1,1,1,1,1,1,1
G0100030010800,01003010800,G0100030010800,01003010800,1,1,1,1,1,1,1,1
G0100030010903,01003010903,G0100030010903,01003010903,1,1,1,1,1,1,1,1
G0100030010904,01003010904,G0100030010904,01003010904,0.9998248477,1,1,1,1,1,1,1
G0100030010904,01003010904,G0100030010906,01003010906,0.0001751523,0,0,0,0,0,0,0
G0100030010906,01003010906,G0100030010906,01003010906,1,1,1,1,1,1,1,1
G0100030010907,01003010907,G0100030010905,01003010905,1,1,1,1,1,1,1,1
G0100030010908,01003010908,G0100030010905,01003010905,1,1,1,1,1,1,1,1
G0100030011000,01003011000,G0100030011000,01003011000,1,1,1,1,1,1,1,1
G0100030011102,01003011102,G0100030011102,01003011102,1,1,1,1,1,1,1,1
G0100030011103,01003011103,G0100030011101,01003011101,1,1,1,1,1,1,1,1
G0100030011104,01003011104,G0100030011101,01003011101,0.9955316748,0.9992336441,0.9994050077,0.9997136157,0.9994047454,0.9994040476,0.9992741874,0.9999352897
