GEOID,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
01001,36,49584,38636,8827,1012,13305,51463,18288,14182,4106,18288,130700,2009
01003,41,171997,146381,16851,4989,49464,48918,68497,53056,15441,68497,173100,2009
01005,37.5,29663,14251,13724,1262,7430,32537,10645,7079,3566,10645,83400,2009
01007,38.6,21464,16182,4953,190,5582,41236,7525,5915,1610,7525,81300,2009
01009,38.2,56804,50787,473,4134,14213,45406,19228,15929,3299,19228,109700,2009
01011,37.4,10917,2427,8182,252,2488,26209,3929,2762,1167,3929,65700,2009
01013,39.2,20189,11451,8328,74,5392,31938,8056,5584,2472,8056,68000,2009
01015,38.1,112969,85467,21946,2725,31366,38382,47046,33649,13397,47046,94600,2009
01017,39.6,34704,20758,12947,462,9416,32433,13672,10020,3652,13672,79200,2009
01019,43.5,24427,22441,1373,293,7564,40240,10261,8122,2139,10261,96200,2009
01021,37.1,42272,35168,4417,1978,11809,38966,16176,12380,3796,16176,102100,2009
01023,42.7,14229,7816,6195,84,4102,30749,5780,4791,989,5780,61500,2009
01025,38.9,26438,14480,11008,144,6262,27080,9259,7343,1916,9259,72400,2009
01027,41.6,13769,11077,1979,366,4228,37652,5774,4346,1428,5774,78400,2009
01029,40,14579,13444,781,142,3726,33742,5279,3977,1302,5279,88600,2009
01031,36.9,46802,34763,8424,1931,13234,41973,18850,12772,6078,18850,113500,2009
01033,40.9,54546,43830,8701,875,15737,39366,22881,16784,6097,22881,92900,2009
01035,42.5,13114,7124,5808,20,3798,27216,5401,4384,1017,5401,67800,2009
01037,43.4,10777,7144,3505,15,3112,33595,4528,3711,817,4528,68800,2009
01039,41.6,36688,30954,4586,403,10121,33278,14651,10912,3739,14651,80100,2009
01041,39.6,13687,9911,2968,145,3786,31058,5857,3802,2055,5857,70600,2009
01043,39.1,80630,75097,977,3115,22229,38394,30993,22810,8183,30993,103600,2009
01045,34.9,48233,34624,9706,1954,13531,42225,19257,11842,7415,19257,88800,2009
01047,36.7,42748,13542,28512,352,11349,26442,17077,10466,6611,17077,70300,2009
01049,37.6,68183,58249,1047,7133,18188,33634,24999,18975,6024,24999,80300,2009
01051,36.8,76714,57273,16430,1393,18898,52971,25417,19737,5680,25417,131400,2009
01053,38,37561,23390,11810,527,9797,32321,14222,10484,3738,14222,81100,2009
01055,39.3,103150,83206,14851,3021,29799,36378,42687,31052,11635,42687,95300,2009
01057,40.7,17651,15052,1999,197,5311,35754,7414,5639,1775,7414,71400,2009
01059,38.1,30847,24971,1161,4127,8854,33380,12372,8484,3888,12372,76700,2009
01061,42.1,25800,21991,2664,640,6902,31055,10410,7764,2646,10410,71500,2009
01063,41.2,9112,1827,7167,72,2354,22352,3692,2516,1176,3692,71700,2009
01065,36.5,17994,7251,10562,65,4190,29841,6263,4537,1726,6263,70900,2009
01067,41.6,16580,10948,5017,395,4430,35792,6312,5213,1099,6312,88500,2009
01069,38.2,97091,68400,24485,1920,25238,41096,36981,25411,11570,36981,111300,2009
01071,40.6,52898,47777,1861,944,14858,35073,21352,16585,4767,21352,84200,2009
01073,36.8,662212,356673,268824,20456,173053,44718,267675,178927,88748,267675,132700,2009
01075,41.2,14438,12346,1735,294,4069,31094,6145,4592,1553,6145,64100,2009
01077,39.6,88550,76798,8862,1410,24622,37691,36458,26555,9903,36458,100600,2009
01079,39.3,34094,26413,4132,577,10381,41472,13587,10783,2804,13587,92100,2009
01081,26.9,130669,93345,30173,2607,30995,38588,54137,33153,20984,54137,131000,2009
01083,38,74076,59782,9650,3028,18589,44997,26114,19932,6182,26114,115100,2009
01085,38.8,12632,3548,8923,25,3510,30270,4781,3637,1144,4781,61800,2009
01087,34,22304,3423,18329,113,4824,26305,8233,5436,2797,8233,78700,2009
01089,37.1,314047,215626,73516,8861,83006,54979,124546,87402,37144,124546,147700,2009
01091,39.3,21210,9814,11198,82,5600,30819,8551,6262,2289,8551,76500,2009
01093,41.4,29415,27303,1093,537,9041,32224,13081,9615,3466,13081,71500,2009
01095,37.4,87925,75289,1338,9346,23168,37396,33073,24119,8954,33073,98100,2009
01097,35.3,405331,245242,138513,7130,107926,40476,155657,106075,49582,155657,113200,2009
01099,38.9,22790,12891,9130,114,6633,29810,9502,6942,2560,9502,81800,2009
01101,33.8,224369,95890,118231,4255,57595,43015,89589,56488,33101,89589,116300,2009
01103,38.5,115197,92073,13159,6691,32183,42913,46200,33667,12533,46200,109800,2009
01105,36.4,10689,3249,7301,69,3267,26270,4489,3001,1488,4489,60600,2009
01107,40,19528,10934,8299,194,5421,27150,8226,6013,2213,8226,73700,2009
01109,32.5,30136,17684,11132,527,7979,28065,12862,7318,5544,12862,85500,2009
01111,40.3,22504,16912,4873,396,5555,35137,7834,6151,1683,7834,85500,2009
01113,37.1,50029,26925,20206,1341,13673,32064,21500,13185,8315,21500,91300,2009
01115,37.8,77585,68212,6818,1167,19766,48425,26355,21721,4634,26355,119600,2009
01117,35.7,182996,153473,17755,6891,50611,67534,69779,56153,13626,69779,188000,2009
01119,35.6,13267,3462,9402,185,3252,20994,5334,3525,1809,5334,54900,2009
01121,38,80190,52721,25208,1109,21419,35865,30715,22136,8579,30715,84500,2009
01123,41.3,40778,29327,10434,443,11015,36637,15983,11768,4215,15983,88100,2009
