DEVELOPMENT_ID,block_group,county,tract,age_c,total_pop_c,total_white_c,total_black_c,total_hispanic_c,poverty_c,income_c,public_assistance_c,owner_c,renter_c,vehicles_c,prop_value_c,year
LA130000001,220550019073,22055,22055001907,31.6,3472,3044,294,101,901,81652,1088,996,92,1088,150400,2020
GA006000772,131210021002,13121,13121002100,35.1,4100,879,2523,193,418,26438,1027,237,790,1027,227700,2010
GA006000772,131210021002,13121,13121002100,22.4,3807,1579,1724,80,430,30662,1024,319,705,1024,227800,2011
GA006000772,131210021002,13121,13121002100,26.3,3308,1327,1669,38,345,27447,958,266,692,958,226000,2012
GA006000772,131210021002,13121,13121002100,30.9,2931,1084,1595,29,344,35250,870,307,563,870,201500,2013
GA006000772,131210021002,13121,13121002100,32.5,2851,1026,1579,30,358,32279,907,319,588,907,195700,2014
GA006000772,131210021002,13121,13121002100,33.4,2785,764,1852,23,375,37627,960,344,616,960,212500,2015
GA006000772,131210021002,13121,13121002100,33.4,2587,666,1708,41,341,38068,904,322,582,904,223900,2016
GA006000772,131210021002,13121,13121002100,35.5,2640,740,1575,93,391,51250,871,360,511,871,243700,2017
GA006000772,131210021002,13121,13121002100,36.7,2463,680,1500,79,324,47917,878,314,564,878,238200,2018
GA006000772,131210021002,13121,13121002100,40.9,2409,775,1278,121,299,68618,885,378,507,885,245500,2019
GA006000772,131210021002,13121,13121002100,45.6,2245,662,1189,127,289,83151,1039,495,544,1039,241500,2020
GA006000770,131210019011,13121,13121001901,20.5,3427,1364,905,196,76,25378,173,0,173,173,NA,2020
DC001001830,110010048013,11001,11001004801,39.3,1760,535,876,193,239,76618,900,510,390,900,551600,2010
DC001001830,110010048013,11001,11001004801,39.4,1784,599,900,142,217,82866,947,528,419,947,569900,2011
DC001001830,110010048013,11001,11001004801,39.5,2018,667,1087,134,292,84875,1039,570,469,1039,573500,2012
DC001001830,110010048013,11001,11001004801,38.7,2148,663,1109,74,275,86629,1015,496,519,1015,568700,2013
DC001001830,110010048013,11001,11001004801,36.6,2138,715,1025,107,290,99808,958,405,553,958,557400,2014
DC001001830,110010048013,11001,11001004801,37.3,2223,782,1055,147,331,103273,1062,450,612,1062,580800,2015
DC001001830,110010048013,11001,11001004801,33.1,2560,1023,1063,183,377,106806,1123,434,689,1123,601600,2016
DC001001830,110010048013,11001,11001004801,32,2725,1128,988,216,377,109601,1135,429,706,1135,633500,2017
DC001001830,110010048013,11001,11001004801,31.1,2900,1418,999,240,414,115625,1191,448,743,1191,682500,2018
DC001001830,110010048013,11001,11001004801,32.6,2999,1647,882,292,432,118571,1236,533,703,1236,769900,2019
DC001001830,110010048013,11001,11001004801,32.1,3138,1567,1116,288,490,109453,1227,456,771,1227,782300,2020
CA019000180,060710121011,06071,06071012101,42.3,5254,3168,740,962,1304,64781,1931,1345,586,1931,352100,2010
CA019000180,060710121011,06071,06071012101,43.7,5248,3126,557,1190,1305,68083,1909,1314,595,1909,341700,2011
CA019000180,060710121011,06071,06071012101,41.3,5087,2877,516,1352,1261,64647,1909,1183,726,1909,297400,2012
CA019000180,060710121011,06071,06071012101,36.6,5724,2769,630,1837,1425,60494,2057,1290,767,2057,257700,2013
CA019000180,060710121011,06071,06071012101,40.4,5445,2793,638,1526,1443,55491,1975,1327,648,1975,223700,2014
CA019000180,060710121011,06071,06071012101,42.5,5238,2584,565,1657,1437,50350,1959,1288,671,1959,240700,2015
CA019000180,060710121011,06071,06071012101,42.4,5374,2925,640,1488,1498,48373,2009,1245,764,2009,234400,2016
CA019000180,060710121011,06071,06071012101,42.7,5511,3038,702,1260,1580,59091,2030,1307,723,2030,284900,2017
CA019000180,060710121011,06071,06071012101,42.1,5564,3083,658,1193,1501,64107,1980,1232,748,1980,307900,2018
CA019000180,060710121011,06071,06071012101,38.6,5860,3181,621,1309,1454,64250,1973,1161,812,1973,316000,2019
CA019000180,060710121011,06071,06071012101,36.5,6658,3287,818,1722,1632,82018,2074,1340,734,2074,333900,2020
LA101000001,220630406014,22063,22063040601,38.2,4015,3045,734,236,1137,54976,1602,1055,547,1602,146900,2020
LA047000001,221139510022,22113,22113951002,39.6,3352,2889,303,156,931,45225,1213,1025,188,1213,95100,2010
