"","DEVELOPMENT_ID","STATE_NAME","INSPECTION_SCORE","year","in_floodplain","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","blockgroup","ALAND_b","AWATER_b","tract","ALAND_tr","AWATER_tr","pct_poor_poc1","pct_poor_poc2","pct_white","pct_poor","pct_elderly","log_income_pc","pct_renter","pop_density","CFLD_RISKV10","coastal","IFLD_RISKV10","CFLD_RISKS","IFLD_RISKS","STCO"
"1","AL001000043","AL",99,2015,0,"01","073","013002","1","010730130021",870311,0,"01073013002",2304619,0,43.9649781113196,43.9649781113196,0,44.7335025380711,23.1205673758865,4.09670150161,0.418060200668896,0.000810055256109598,NA,NA,267826.684217093,0,10.6932277628032,"01073"
"2","AL005000002","AL",97,2015,0,"01","113","030200","2","011130302002",560592,0,"01113030200",1523115,2802,40.7843137254902,38.9019607843137,36.6949152542373,53.2728706624606,4.91525423728814,4.0365889767554,0.871428571428571,0.00210491765847533,NA,NA,790363.914847514,0,57.8883086253369,"01113"
"3","AL103000001","AL",85,2015,0,"01","061","050400","2","010610504002",22281861,0,"01061050400",340277721,2883643,11.2074947952811,10.912560721721,76.6121270452358,25.8496214122205,19.2492781520693,4.07430434400144,0.317073170731707,4.66298573534769e-05,NA,1,1907244.56555094,0,91.6041947439353,"01061"
"4","AL174000002","AL",90,2015,0,"01","123","962000","4","011239620004",1245044,0,"01123962000",160844091,831267,16.8660567675346,15.9512080694347,2.83600493218249,21.5575885526624,12.9469790382244,3.95225953659082,0.363636363636364,0.000651382601739376,NA,NA,939627.265065931,0,66.6842149595687,"01123"
"5","AL181000001","AL",80,2015,0,"01","035","960600","3","010359606003",45900870,408703,"01035960600",675050941,1901835,42.3580786026201,42.3580786026201,24.6359930110658,49.3692382338671,10.3086779266162,4.06344595312303,0.499219968798752,3.74066983915555e-05,NA,NA,901240.041648358,0,64.8226920485175,"01035"
"6","AL006000008","AL",85,2016,0,"01","101","003000","3","011010030003",2400576,1499,"01101003000",10571245,10928,38.3227848101266,38.4810126582278,3.00075018754689,39.873417721519,1.12528132033008,3.73495976127245,0.778337531486146,0.00055528339865099,NA,NA,1144279.6435792,0,75.4548517520216,"01101"
"7","AL047000006","AL",96,2016,0,"01","089","001200","3","010890012003",902168,0,"01089001200",2743684,7403,62.288810965891,60.3442779725853,0.844277673545966,65.1757188498403,11.7260787992495,3.86117583551303,0.810020876826722,0.00118159810589602,NA,NA,1237014.31530521,0,79.1252526954178,"01089"
"8","AL071000001","AL",83,2016,0,"01","093","964600","2","010939646002",20663626,0,"01093964600",149020339,38718,6.31229235880399,4.59075807913017,75.398406374502,34.7648902821317,25.0996015936255,4.15481943619417,0.498800959232614,4.8587793836377e-05,NA,NA,1453065.89828061,0,84.2444407008086,"01093"
"9","AL174000001","AL",84,2016,0,"01","123","962100","2","011239621002",5210260,4913,"01123962100",28825059,45488,31.2169312169312,31.2169312169312,54.2817679558011,40.2391410444119,16.8508287292818,4.22224811685893,0.549920760697306,0.000277913194351146,NA,NA,1045725.61040494,0,71.7233827493261,"01123"
"10","AL053000020","AL",92,2017,0,"01","093","964300","2","010939643002",2643075,37327,"01093964300",229517860,71618,6.15597783056215,4.61203483768804,81.5112540192926,14.2913697545527,18.8102893890675,4.38551690339902,0.358452138492872,0.000470663904732177,NA,NA,1229435.07531286,0,78.7588443396226,"01093"
