state,count,mean,std,min,25%,50%,75%,max
AK,100.0,84.5,11.93,58.0,81.75,87.5,94.0,99.0
AL,2144.0,83.42,13.64,27.0,76.0,87.0,94.0,100.0
AR,868.0,82.51,13.42,30.0,75.0,86.0,92.0,100.0
AZ,310.0,84.48,11.94,42.0,78.0,88.0,93.0,100.0
CA,1640.0,82.19,13.95,25.0,75.0,87.0,93.0,100.0
CO,519.0,86.2,10.29,39.0,80.0,89.0,94.0,100.0
CT,978.0,79.81,15.79,18.0,71.0,84.0,93.0,100.0
DC,564.0,69.85,18.47,22.0,57.0,70.0,86.0,100.0
DE,197.0,81.84,15.11,42.0,73.0,86.0,93.0,100.0
FL,1643.0,84.27,13.39,33.0,78.0,88.0,95.0,100.0
GA,2743.0,83.93,12.68,25.0,78.0,88.0,93.0,100.0
HI,160.0,72.98,15.4,21.0,64.0,74.0,86.0,95.0
IA,388.0,87.1,8.3,58.0,84.0,89.0,94.0,99.0
ID,71.0,87.11,9.64,50.0,82.0,90.0,95.0,98.0
IL,2992.0,78.93,15.65,17.0,70.0,82.0,91.0,100.0
IN,847.0,75.42,16.7,27.0,65.0,79.0,89.0,100.0
KS,820.0,87.38,10.87,37.0,84.0,90.0,95.0,100.0
KY,1326.0,85.53,12.87,34.0,80.0,89.0,95.0,100.0
LA,1388.0,75.14,17.44,16.0,63.0,79.0,90.0,100.0
MA,1526.0,85.54,11.7,33.0,80.0,89.0,94.0,100.0
MD,979.0,73.98,17.38,20.0,60.0,76.0,90.0,99.0
ME,191.0,84.3,10.7,40.0,78.0,87.0,92.0,99.0
MI,1647.0,80.39,16.28,21.0,71.0,84.0,93.0,100.0
MN,1157.0,88.16,9.55,44.0,84.0,91.0,95.0,100.0
MO,1209.0,85.5,12.18,11.0,80.0,89.0,94.0,100.0
MS,622.0,82.06,12.64,46.0,74.0,84.0,92.0,100.0
MT,161.0,79.9,15.05,23.0,72.0,84.0,91.0,97.0
NC,2113.0,83.07,13.25,21.0,77.0,86.0,93.0,100.0
ND,167.0,78.18,15.88,42.0,65.0,80.0,93.0,100.0
NE,952.0,86.66,12.9,36.0,82.0,91.0,96.0,100.0
NH,201.0,85.25,12.18,50.0,80.0,89.0,95.0,99.0
NJ,1825.0,77.15,19.0,0.0,68.0,83.0,92.0,100.0
NM,338.0,78.11,15.45,29.0,68.0,81.0,91.0,100.0
NV,149.0,89.4,10.94,54.0,85.0,92.0,98.0,100.0
NY,2877.0,74.6,17.9,3.0,65.0,77.0,88.0,100.0
OH,2145.0,80.32,14.0,29.0,71.0,83.0,91.0,100.0
OK,1040.0,80.87,14.19,32.0,72.0,84.0,92.0,99.0
OR,511.0,89.26,8.99,51.0,85.0,91.0,96.0,100.0
PA,3472.0,82.12,14.77,22.0,74.0,86.0,94.0,100.0
RI,545.0,84.83,13.07,31.0,79.0,89.0,94.0,100.0
SC,886.0,81.96,13.07,19.0,76.0,85.0,92.0,100.0
SD,193.0,87.18,9.54,58.0,83.0,89.0,95.0,99.0
TN,1286.0,86.93,11.77,32.0,82.0,90.0,96.0,100.0
TX,3992.0,84.81,12.84,19.0,78.75,89.0,94.0,100.0
UT,112.0,82.73,10.96,41.0,80.0,83.5,89.0,99.0
VA,1084.0,78.31,14.86,24.0,69.0,82.0,90.0,100.0
VT,69.0,89.45,8.01,64.0,85.0,91.0,96.0,99.0
WA,789.0,86.0,13.3,33.0,80.0,90.0,96.0,100.0
WI,974.0,82.84,15.02,25.0,78.0,87.0,94.0,100.0
WV,417.0,82.53,14.29,24.0,77.0,87.0,92.0,100.0
WY,60.0,84.98,8.32,66.0,81.0,86.0,91.0,97.0
